Designator;Mid X;Mid Y;Layer;Rotation;;;
BOOT;1.293;0.923;Bottom;90;;;
C1;0.336;0.895;Bottom;90;;;
C2;0.417;0.893;Bottom;90;;;
C3;0.677;0.551;Bottom;90;;;
C4;0.618;0.551;Bottom;90;;;
C5;0.559;0.551;Bottom;90;;;
C6;1.199;0.644;Bottom;180;;;
C7;1.199;0.509;Bottom;180;;;
C8;1.199;0.454;Bottom;0;;;
C9;1.199;0.589;Bottom;0;;;
C10;0.059;1.142;Top;270;;;
C11;0.846;1.181;Top;90;;;
C12;0.924;0.342;Top;270;;;
C13;0.866;0.342;Top;270;;;
C14;0.075;0.870;Top;270;;;
C15;0.419;1.201;Top;180;;;
C16;0.539;1.201;Top;0;;;
C17;0.865;0.823;Top;270;;;
C18;0.630;1.003;Bottom;180;;;
C19;0.304;1.117;Bottom;0;;;
D1;0.193;0.818;Bottom;90;;;
D2;1.311;0.083;Bottom;0;;;
ERR;0.937;0.611;Top;0;;;
IC1;0.618;0.748;Bottom;180;;;
J2;1.321;0.362;Top;90;;;
L1;0.292;0.515;Bottom;180;;;
L2;0.301;1.201;Top;180;;;
L3;0.664;1.201;Top;0;;;
PRI;0.277;1.319;Top;270;;;
PVT;1.003;0.611;Top;0;;;
R1;1.301;0.650;Top;270;;;
R2;0.897;0.984;Bottom;90;;;
R3;1.228;0.429;Top;0;;;
R4;1.228;0.310;Top;0;;;
R5;0.843;0.485;Top;0;;;
R6;0.844;0.435;Top;0;;;
R7;1.003;0.493;Top;90;;;
R8;0.937;0.493;Top;90;;;
R9;1.033;1.082;Bottom;0;;;
RESET;1.032;0.923;Bottom;90;;;
SEC;0.693;1.319;Top;270;;;
U$9;0.689;1.122;Top;270;;;
U1;0.959;0.525;Bottom;0;;;
U2;1.167;1.037;Top;0;;;
